Município;Região Administrativa;Região de Governo;Distância da Capital (km);Número de Habitantes (em 2010);Porte;Possui Arquivo Público?;Tipo de Referência Legal que regulamenta Arquivo(s) Público(s);Número da Referência Legal que regulamenta Arquivo(s) Público(s);Data da Referência Legal que regulamenta Arquivo(s) Público(s);Ementa da Referência Legal que regulamenta Arquivo(s) Público(s);Nome Oficial do Arquivo Público 1;Vínculo do Arquivo Público 1;Endereço do Arquivo Público 1;Bairro do Arquivo Público 1;CEP do Arquivo Público 1;Telefone do Arquivo Público 1;E-mail do Arquivo Público 1;Site do Arquivo Público 1;Tipo de Referência Legal que regulamenta o Arquivo Público 1;Número da Referência Legal que regulamenta o Arquivo Público 1;Data da Referência Legal que regulamenta o Arquivo Público 1;Ementa da Referência Legal que regulamenta o Arquivo Público 1;Nome Oficial do Arquivo Público 2;Vínculo do Arquivo Público 2;Endereço do Arquivo Público 2;Bairro do Arquivo Público 2;CEP do Arquivo Público 2;Telefone do Arquivo Público 2;E-mail do Arquivo Público 2;Site do Arquivo Público 2;Tipo de Referência Legal que regulamenta o Arquivo Público 2;Número da Referência Legal que regulamenta o Arquivo Público 2;Data da Referência Legal que regulamenta o Arquivo Público 2;Ementa da Referência Legal que regulamenta o Arquivo Público 2;Possui Comissão de Avaliação de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Data da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Ementa da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Observações sobre Comissão de Avaliação de Documentos;Possui Tabela de Temporalidade de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Número da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Data da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Ementa da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Qual(is) Tabela de Temporalidade de Documentos possui;Observações sobre Tabela de Temporalidade de Documentos;Foi atendido pelo CAM (Centro de Assistência aos Municípios);Recebeu Visita Técnica do CAM (Centro de Assistência aos Municípios);Foi elaborado Parecer Técnico pelo CAM (Centro de Assistência aos Municípios);Participou de eventos sobre Gestão Documental promovidos pelo CAM (Centro de Assistência aos Municípios);Foi acionado pelo Ministério Público do Estado de São Paulo;Regulamentou a Lei de Acesso à Informação;Tipo da Referência Legal que regulamenta a Lei de Acesso à Informação;Número da Referência Legal que regulamenta a Lei de Acesso à Informação;Data da Referência Legal que regulamenta a Lei de Acesso à Informação;Ementa da Referência Legal que regulamenta a Lei de Acesso à Informação;Existe a previsão de pelo menos uma instância recursal;1ª Instância Recursal (obrigatória);2ª Instância Recursal;3ª Instância Recursal;4ª Instância Recursal;Existe a previsão para autoridades classificarem informações quanto ao grau de sigilo;Existe a previsão de responsabilização do servidor em caso de negativa de informação;Existe a previsão de criação do SIC (Serviço de Informação ao Cidadão);Vínculo e Localização do SIC (Serviço de Informação ao Cidadão);Nota obtida na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Nota obtida na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Evolução no Ranking da Transparência do MPF (Ministério Público Federal) em relação à avaliação anterior
Mendonça;Região Administrativa de São José do Rio Preto;São José do Rio Preto;460;4.640;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1547;19/04/2013;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Paço Municipal: Rua Santos Dumont, nº 682.;4,6;361;7,3;160;SUBIU
Meridiano;Região Administrativa de São José do Rio Preto;Fernandópolis;560;3.855;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1787;03/09/2014;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Paço Municipal: Rua Luiza Feltrin Guilhen, n2 1716 (recebe, autua e processa os pedidos).;6,2;166;1,6;605;CAIU
Mesópolis;Região Administrativa de São José do Rio Preto;Jales;636;1.886;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,4;274;4,8;446;CAIU
Miguelópolis;Região Administrativa de Franca;Franca;456;20.451;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;5,3;291;3,9;515;CAIU
Mineiros do Tietê;Região Administrativa de Bauru;Jaú;272;12.038;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,1;420;4,8;446;SUBIU
Mira Estrela;Região Administrativa de São José do Rio Preto;Fernandópolis;603;2.820;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;734;08/10/2013;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Sede do Paço Municipal (recebe, autua e processa os pedidos).;2,6;551;7,9;103;SUBIU
Miracatu;Região Administrativa de Registro;Registro;140;20.592;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,7;25;6;323;CAIU
Mirandópolis;Região Administrativa de Araçatuba;Andradina;594;27.483;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;2780;01/07/2015;Lei de Acesso regulamentada;;Serviço de Informações ao Cidadão — SIC (em caso de dúvida, poderá ser convocada a Comissão de Acesso à Informação).;Prefeito Municipal ou Autoridade Competente da Administração Indireta  (podendo consultar a Comissão de Acesso à Informação).;Prefeito Municipal ou representante legal da Administração Indireta.;Não há;Não;Sim;Sim;Não determinada (recebe e protocola os pedidos).;2,2;572;5,1;419;SUBIU
Mirante do Paranapanema;Região Administrativa de Presidente Prudente;Presidente Prudente;616;17.059;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,3;569;3,1;562;SUBIU
Mirassol;Região Administrativa de São José do Rio Preto;São José do Rio Preto;467;53.792;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,8;221;4,6;461;CAIU
Mirassolândia;Região Administrativa de São José do Rio Preto;São José do Rio Preto;480;4.295;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Lei;1340;15/09/2014;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão impugnada.;Comissão Permanente de Monitoramento;Não há;Não há;Não;Não;Sim;Protocolo Geral, situado na Sede Administrativa da Prefeitura Municipal de Mirassolândia, na rua Antonio Batista Rodrigues, nº 364 (protocoliza pedidos).;5,2;300;7,7;124;SUBIU
Mococa;Região Administrativa de Campinas;São João da Boa Vista;265;66.290;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;4417;08/04/2014;Regulamenta LAI;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou autoridades máximas dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas pública, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Município;Não há;Não há;Sim;Sim;Sim;Não determinada: Órgão de fácil acesso (protocoliza os pedidos). Abrangência de todos os órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas pública, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Município;4,7;350;9,2;25;SUBIU
Mogi das Cruzes;Região Administrativa de São Paulo;São Paulo;63;387.779;Grande;Sim;Lei;2534;25/06/1980;Reorganiza Arquivo;Arquivo Municipal;Departamento de Administração;Rua Coronel Souza Franco, 993;Centro Histórico;08710-020;(11) 4799-4281;ahm@uns.arq.br;;Lei;2534;25/06/1980;Reorganiza Arquivo;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,5;265;7,2;172;SUBIU
Mogi Guaçu;Região Administrativa de Campinas;Campinas;164;137.245;Grande;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;Sim;Não;;;;;;;;;;;;;;6,1;178;9,2;25;SUBIU
Mogi Mirim;Região Administrativa de Campinas;Campinas;153;86.505;Médio;Sim;Lei;4741;18/03/2009;Arquivo Municipal;Arquivo Público Municipal Orlando Bronzatto (Pintaco);Departamento de Administração;;;;;;;Lei;4741;18/03/2009;Arquivo Municipal;;;;;;;;;;;;;Sim;Lei;4741;18/03/2009;Arquivo Municipal;;;;;;;;A Lei 4741, de 18/03/2009 prevê, em seus artigos 6º e 7º a instalação de Comissões de Avaliação de Documentos de Arquivos. Cabe à Seção de Protocolo e Arquivo autorizar a eliminação de documentos, e a elaboração de TTD (art. 5º, incisos VIII e IX).;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,2;300;5,7;353;SUBIU
Mombuca;Região Administrativa de Campinas;Piracicaba;150;3.266;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,4;274;6,4;273;SUBIU
Monções;Região Administrativa de São José do Rio Preto;Votuporanga;543;2.132;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,9;332;4,8;446;CAIU
Mongaguá;Região Administrativa de Santos;Santos;95;46.293;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;2553;13/08/2012;Regulamenta LAI;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou autoridades máximas dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas pública, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Município;Não há;Não há;Sim;Sim;Sim;Não determinada: Órgão de fácil acesso (protocoliza os pedidos). Abrangência de todos os órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas pública, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Município;2,1;576;2,3;590;SUBIU
Monte Alegre do Sul;Região Administrativa de Campinas;Bragança Paulista;131;7.152;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Decreto;1796;03/03/2014;Lei de Acesso regulamentada;Não;Não há;Não há;Não há;Não há;Não;Não;Sim;Não determinada.;0,2;635;1,7;602;SUBIU
Monte Alto;Região Administrativa de Ribeirão Preto;Ribeirão Preto;374;46.642;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;2900;26/06/2012;Regulamenta LAI;Sim;Pelo menos uma autoridade hierarquicamente superior à que exarou a decisão impugnada.;Comissão Permanente de Monitoramento;Não há;Não há;Não;Não;Sim;Central de Atendimento ao Cidadão (CAC): recebe e registra os pedidos.;4,6;361;6,6;256;SUBIU
Monte Aprazível;Região Administrativa de São José do Rio Preto;São José do Rio Preto;489;21.746;Pequeno 2;Sim;Lei;2552;03/06/2004;Cria o Arquivo;Arquivo Municipal;Executivo Municipal;;;;(11) 3275-9500, Ramal 315 (Marcos);;;Lei;2552;03/06/2004;Cria o Arquivo;;;;;;;;;;;;;Sim;Decreto;040;09/04/2010;;;;;;;;;"A Lei 2552, de 03/06/2004 criou o Arquivo Municipal, e seu art. 4º proíbe a eliminação de documentos sem autorização do Arquivo Público. O Decreto 040, de 09/04/2010 criou a CPAD - Comissão Permanente de Avaliação de Documentos; as atribuições da CPAD foram criadas pelo Decreto 013, de 07/02/2014.";Sim;Não;Não;Não;Sim;Sim;Decreto;61;29/10/2012;Regulamenta LAI;Sim;Autoridade responsável pela unidade administrativa a que o Serviço de Informação ao Cidadão (SIC) estiver subordinado.;Não há;Não há;Não há;Não;Sim;Sim;Não determinada: em cada um dos órgãos e entidades da Administração Direta e Indireta do Poder Executivo Municipal. O SIC será coordenado pelo Arquivo Público Municipal e, na Prefeitura, será subordinado diretamente ao Gabinete do Prefeito.;4,3;398;5,2;411;SUBIU
Monte Azul Paulista;Região Administrativa de Barretos;Barretos;417;18.931;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;;;;;;Não;;;;;;O trabalho de estabelecer a Tabela de Temporalidade não foi iniciado. A prefeitura admitiu em Visita Técnica realizada em 18/08/2016 que não regulamentou o Arquivo e não há instrumentos de gestão documental. A Lei 696, de 12/05/1981 previa a autorização para eliminação de documentos públicos.;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;5,8;221;6,5;267;SUBIU
Monte Castelo;Região Administrativa de Presidente Prudente;Dracena;658;4.063;Pequeno 1;Sim;;;;;Arquivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;1,6;602;2,6;580;SUBIU
Monte Mor;Região Administrativa de Campinas;Campinas;121;48.949;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;3805;18/06/2012;;Sim;Autoridade hierarquicamente superior à que exarou a decisão impugnada.;Procuradoria Geral do Município;Conselho Municipal da Administração Pública (COMAP).;Não há;Não;Sim;Sim;Não determinada: Serviço de Informações Municipais (SIM):  local apropriado em órgãos e entidades do Poder Público (protocoliza os pedidos). O Conselho Municipal da Administração Pública (COMAP) coordena o Serviço de Informações Municipais (SIM).;1,5;607;6,8;229;SUBIU
Monteiro Lobato;Região Administrativa de São José dos Campos;São José dos Campos;131;4.120;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,8;221;8,6;55;SUBIU
Morro Agudo;Região Administrativa de Franca;São Joaquim da Barra;395;29.116;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4,6;361;4,8;446;SUBIU
Morungaba;Região Administrativa de Campinas;Jundiaí;107;11.769;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,5;127;7,5;141;SUBIU
Motuca;Região Administrativa Central;Araraquara;321;4.290;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4,2;405;8,5;60;SUBIU
Murutinga do Sul;Região Administrativa de Araçatuba;Andradina;616;4.186;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7,2;53;7,1;186;CAIU
Nantes;Região Administrativa de Presidente Prudente;Presidente Prudente;527;2.707;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4,1;420;3,3;553;CAIU
Narandiba;Região Administrativa de Presidente Prudente;Presidente Prudente;588;4.288;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;428;16/07/2015;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão.;Autoridade hierarquicamente superior à que exarou a decisão impugnada.;Prefeito;Não há;Sim;Não;Sim;Não determinada (autua e protocoliza o pedido). Todos os órgãos e entidades integrantes da Administração Pública direta ou indireta deverão dispor de, no mínimo, uma unidade física para atendimento ao público, com a finalidade de abrigar seu próprio Serviço de Informação ao Cidadão (SIC).;5,5;265;5,7;353;SUBIU
Natividade da Serra;Região Administrativa de São José dos Campos;Taubaté;187;6.678;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,1;309;6,9;217;SUBIU
Nazaré Paulista;Região Administrativa de Campinas;Bragança Paulista;90;16.414;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;2613;30/09/2014;Regulamenta LAI;Não;Não há;Não há;Não há;Não há;Não;Não;Sim;Setor de Protocolo Geral;6,6;115;6,6;256;IGUAL
Neves Paulista;Região Administrativa de São José do Rio Preto;São José do Rio Preto;485;8.772;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,4;489;4,4;477;SUBIU
Nhandeara;Região Administrativa de São José do Rio Preto;Votuporanga;523;10.725;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,7;468;4,4;477;SUBIU
Nipoã;Região Administrativa de São José do Rio Preto;São José do Rio Preto;509;4.274;Pequeno 1;Sim;Lei;123;22/10/2004;Possui Arquivo Publico;Arquivo Público Municipal;Prefeitura;Rua Pedro Rapim, 500;Residencial Alcides Caetano;15240-000;(17) 3277-9000 (prefeitura) ;pmnipoa@oquei.com.br;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;2,7;542;7,8;111;SUBIU
Nova Aliança;Região Administrativa de São José do Rio Preto;São José do Rio Preto;461;5.891;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,7;542;4,4;477;SUBIU
Nova Campina;Região Administrativa de Itapeva;Itapeva;309;8.515;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;6,1;178;4,7;455;CAIU
Nova Canaã Paulista;Região Administrativa de São José do Rio Preto;Jales;662;2.114;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,6;252;7,4;149;SUBIU
Nova Castilho;Região Administrativa de Araçatuba;Araçatuba;576;1.125;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,9;206;4,9;439;CAIU
Nova Europa;Região Administrativa Central;Araraquara;331;9.300;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;1817;28/03/2014;Regulamenta LAI;Não;Não há;Não há;Não há;Não há;Não;Não;Sim;Não determinada: órgão de fácil acesso (protocoliza os pedidos).;0,6;626;7,4;149;SUBIU
Nova Granada;Região Administrativa de São José do Rio Preto;São José do Rio Preto;487;19.180;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;48;09/09/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Prefeitura Municipal de Nova Granada, localizada na Praça São Benedito, Nº 417 (recebe e autua os pedidos).;4,6;361;0,6;628;CAIU
Nova Guataporanga;Região Administrativa de Presidente Prudente;Dracena;656;2.177;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;2,8;534;2,3;590;CAIU
Nova Independência;Região Administrativa de Araçatuba;Andradina;653;3.068;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;0,2;635;5,8;344;SUBIU
Nova Luzitânia;Região Administrativa de Araçatuba;Araçatuba;561;3.441;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;1642;19/02/2014;Regulamenta LAI;Sim;Setor Competente.;Não há;Não há;Não há;Não;Não;Sim;Não determinada: Prefeitura (recebe, autua e processa os pedidos).;4,3;398;6,4;273;SUBIU
Nova Odessa;Região Administrativa de Campinas;Campinas;124;51.242;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,7;597;4,2;489;SUBIU
Novais;Região Administrativa de São José do Rio Preto;Catanduva;423;4.592;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,2;300;3,3;553;CAIU
Novo Horizonte;Região Administrativa de São José do Rio Preto;Catanduva;413;36.593;Pequeno 2;Sim;Lei;4318;31/01/2017;;Arquivo Público Municipal Anna Aparecida Garciolo de Lima;Departamento Municipal de Serviços Administrativos;Praça Rio Branco, 185;Centro;;(17) 0542-1144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;5303;24/05/2013;Regulamenta LAI;Sim;Autoridade máxima do órgão responsável pela resposta.;Prefeito Municipal;Não há;Não há;Não;Sim;Sim;Não determinada: Coordenação da Diretoria de Finanças, Planejamento e Arrecadação.;5,6;252;9,1;29;SUBIU
Nuporanga;Região Administrativa de Franca;São Joaquim da Barra;391;6.817;Pequeno 1;Sim;;;;;Arquivo Público Municipal;Departamento Administrativo;Rua Capitão Camilo, 166;Centro;14670-000;(16) 3847-2272;arquivopublico@nuporanga.sp.gov.br;;;;;;;;;;;;;;;;;;Não;;;;;;;;;;;;Consta em ficha do Município na Rede CAM, que o Arquivo Público Municipal existe (sem instrumento legal de criação) desde o dia 16/07/2009, em prédio alugado.;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6;199;5,3;399;CAIU
Ocauçu;Região Administrativa de Marília;Marília;425;4.163;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,6;252;5,3;399;CAIU
Óleo;Região Administrativa de Marília;Ourinhos;316;2.673;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Lei;1797;01/01/2013;Lei de Acesso regulamentada;Sim;Diretor do Departamento de Administração.;Prefeito;Não há;Não há;Não;Não;Sim;Não determinada: Estrutura Administrativa da Prefeitura Municipal.;6,1;178;7,4;149;SUBIU
Olímpia;Região Administrativa de Barretos;Barretos;453;50.024;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;5719;23/04/2014;Regulamenta LAI;Sim;Autoridade máxima da Secretaria ou Departamento, autoridade hierarquicamente superior àquela que exarou a decisão impugnada.;Prefeito Municipal;Não há;Não há;Sim;Sim;Sim;Não determinada: Secretarias e Departamentos da Administração Pública Municipal (protocoliza os pedidos). O SIC é denominado nesta Cidade por SSIC (Serviço Setorial de Informações ao Cidadão) e mantém intercâmbio permanente com serviços de protocolo e arquivo.;6,2;166;7,1;186;SUBIU
Onda Verde;Região Administrativa de São José do Rio Preto;São José do Rio Preto;480;3.884;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;1429;31/10/2013;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão impugnada.;Comissão Permanente de Monitoramento;Não há;Não há;Não;Sim;Sim;Protocolo Geral: Sede Administrativa da Prefeitura Municipal (Avenida Romano Calil, 261).;2,1;576;5,4;387;SUBIU
Oriente;Região Administrativa de Marília;Marília;456;6.097;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;3,3;498;6,4;273;SUBIU
Orindiúva;Região Administrativa de São José do Rio Preto;São José do Rio Preto;530;5.675;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1272;18/04/2013;Lei de Acesso regulamentada;Sim;Prefeito Municipal;Não há;Não há;Não há;Não;Não;Sim;Setor de protocolo localizado no prédio da Prefeitura, situado na Praça Maria Dias n.º 614 – Centro.;5,3;291;7;205;SUBIU
Orlândia;Região Administrativa de Franca;São Joaquim da Barra;380;39.781;Pequeno 2;Sim;Lei;3861;28/02/2012;Lei de Acesso regulamentada. Arquivo e LAI;Arquivo Público Municipal;Secretaria Municipal de Administração;;;;;;;Lei;3861;28/02/2012;Lei de Acesso regulamentada. Arquivo e LAI;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;3861;28/02/2012;Lei de Acesso regulamentada. Arquivo e LAI;Sim;Autoridade hierarquicamente superior à que exarou a decisão impugnada;Controladoria Geral do Município;Não há;Não há;Não;Sim;Sim;Não determinada: órgãos e Entidades do Poder Público Municipal (protocoliza os pedidos);5,7;239;5,2;411;CAIU
Osasco;Região Administrativa de São Paulo;São Paulo;24;666.740;Grande;Sim;Lei;2635;06/07/1992;Cria Arquivo Histórico;Arquivo Histórico do Município de Osasco;Secretaria de Esportes, Cultura e Recreação;;;;;;;Lei;2635;06/07/1992;Cria Arquivo Histórico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;11440;25/05/2017;Regulamenta a política de acesso às informações públicas no âmbito do Município de Osasco, bem como institui regras específicas complementares às normas gerais estabelecidas pela Lei 12.527, de 18 de novembro de 2011 – Lei de Acesso à Informação, e dá outras providências.;Sim;O próprio SIC;Autoridade máxima do órgão ou entidade municipal demandada;Comissão Municipal de Acesso à Informação;Não há;Sim;Sim;Sim;Rua Dimitri Sensaud de Lavoud, nº 228 - Vila Campesina - Osasco, no horário de 10h às 16h. Gerido e monitorado pela Ouvidoria Municipal (recebe e protocoliza os pedidos).;6,5;127;0,2;637;CAIU
